codParlamentario,nombre,fecha_declaracion,url_pdf_bienes
136,Cristina Agüera Gago,25/09/2025,https://www.congreso.es/docbienes/leg15/000132/000132_001_e_0082176_20250925.pdf
137,Isabel Iniesta Egido,07/08/2023,https://www.congreso.es/docbienes/leg15/000131/000131_000_e_0000559_20230807.pdf
138,Emilio Sáez Cruz,07/08/2023,https://www.congreso.es/docbienes/leg15/000129/000129_000_e_0000557_20230807.pdf
139,María Adrio Taracido,07/08/2023,https://www.congreso.es/docbienes/leg15/000128/000128_000_e_0000550_20230807.pdf
140,Alfonso Rodríguez Gómez de Celis,07/08/2023,https://www.congreso.es/docbienes/leg15/000126/000126_000_e_0000544_20230807.pdf
140,Alfonso Rodríguez Gómez de Celis,28/05/2026,https://www.congreso.es/docbienes/leg15/000126/000126_001_e_0117139_20260528.pdf
141,Javier Noriega Gómez,07/08/2023,https://www.congreso.es/docbienes/leg15/000130/000130_000_e_0000558_20230807.pdf
142,Luc Andre Diouf Dioh,11/09/2023,https://www.congreso.es/docbienes/leg15/000348/000348_000_e_0001661_20230911.pdf
143,Beatriz Álvarez Fanjul,07/08/2023,https://www.congreso.es/docbienes/leg15/000133/000133_000_e_0000569_20230807.pdf
145,Isabel María Borrego Cortés,08/08/2023,https://www.congreso.es/docbienes/leg15/000136/000136_000_e_0000587_20230808.pdf
145,Isabel María Borrego Cortés,24/07/2024,https://www.congreso.es/docbienes/leg15/000136/000136_001_e_0034590_20240724.pdf
145,Isabel María Borrego Cortés,19/03/2026,https://www.congreso.es/docbienes/leg15/000136/000136_001_e_0107159_20260319.pdf
146,Margarita Martín Rodríguez,08/08/2023,https://www.congreso.es/docbienes/leg15/000137/000137_000_e_0000589_20230808.pdf
148,Sergio Sayas López,08/08/2023,https://www.congreso.es/docbienes/leg15/000138/000138_000_e_0000593_20230808.pdf
148,Sergio Sayas López,21/01/2025,https://www.congreso.es/docbienes/leg15/000138/000138_001_e_0054066_20250121.pdf
149,Alberto Catalán Higueras,08/08/2023,https://www.congreso.es/docbienes/leg15/000139/000139_000_e_0000595_20230808.pdf
149,Alberto Catalán Higueras,23/05/2024,https://www.congreso.es/docbienes/leg15/000139/000139_001_e_0026617_20240523.pdf
149,Alberto Catalán Higueras,09/09/2025,https://www.congreso.es/docbienes/leg15/000139/000139_001_e_0078927_20250909.pdf
150,Pedro Samuel Martín García,08/08/2023,https://www.congreso.es/docbienes/leg15/000142/000142_000_e_0000610_20230808.pdf
150,Pedro Samuel Martín García,11/06/2025,https://www.congreso.es/docbienes/leg15/000142/000142_001_e_0072406_20250611.pdf
151,María Jesús Moro Almaraz,08/08/2023,https://www.congreso.es/docbienes/leg15/000140/000140_000_e_0000600_20230808.pdf
152,Carlos Alberto Sánchez Ojeda,08/08/2023,https://www.congreso.es/docbienes/leg15/000144/000144_000_e_0000628_20230808.pdf
154,Rafaela Crespín Rubio,08/08/2023,https://www.congreso.es/docbienes/leg15/000149/000149_000_e_0000645_20230808.pdf
155,Laura María Lima García,08/08/2023,https://www.congreso.es/docbienes/leg15/000145/000145_000_e_0000631_20230808.pdf
156,Juan Antonio Rojas Manrique,08/08/2023,https://www.congreso.es/docbienes/leg15/000148/000148_000_e_0000641_20230808.pdf
157,Engracia Rivera Arias,08/08/2023,https://www.congreso.es/docbienes/leg15/000151/000151_000_e_0000650_20230808.pdf
159,Carlos Flores Juberías,08/08/2023,https://www.congreso.es/docbienes/leg15/000162/000162_000_e_0000691_20230808.pdf
160,Cristina Abades Martínez,08/08/2023,https://www.congreso.es/docbienes/leg15/000150/000150_000_e_0000648_20230808.pdf
161,Jaime Eduardo de Olano Vela,08/08/2023,https://www.congreso.es/docbienes/leg15/000147/000147_000_e_0000640_20230808.pdf
162,Javier Celaya Brey,08/08/2023,https://www.congreso.es/docbienes/leg15/000153/000153_000_e_0000664_20230808.pdf
163,Silverio Argüelles García,08/08/2023,https://www.congreso.es/docbienes/leg15/000146/000146_000_e_0000633_20230808.pdf
163,Silverio Argüelles García,10/10/2023,https://www.congreso.es/docbienes/leg15/000146/000146_001_e_0002403_20231010.pdf
164,Àgueda Micó Micó,08/08/2023,https://www.congreso.es/docbienes/leg15/000158/000158_000_e_0000678_20230808.pdf
165,Alberto Ibáñez Mezquita,08/08/2023,https://www.congreso.es/docbienes/leg15/000161/000161_000_e_0000685_20230808.pdf
166,Nahuel González López,08/08/2023,https://www.congreso.es/docbienes/leg15/000156/000156_000_e_0000671_20230808.pdf
167,María Luisa Faneca López,08/08/2023,https://www.congreso.es/docbienes/leg15/000155/000155_000_e_0000668_20230808.pdf
168,Gabriel Cruz Santana,08/08/2023,https://www.congreso.es/docbienes/leg15/000154/000154_000_e_0000667_20230808.pdf
168,Gabriel Cruz Santana,08/10/2025,https://www.congreso.es/docbienes/leg15/000154/000154_001_e_0084376_20251008.pdf
169,Martina Velarde Gómez,08/08/2023,https://www.congreso.es/docbienes/leg15/000152/000152_000_e_0000655_20230808.pdf
170,Patricia Blanquer Alcaraz,08/08/2023,https://www.congreso.es/docbienes/leg15/000157/000157_000_e_0000675_20230808.pdf
171,Valle Mellado Sierra,08/08/2023,https://www.congreso.es/docbienes/leg15/000159/000159_000_e_0000681_20230808.pdf
171,Valle Mellado Sierra,23/12/2024,https://www.congreso.es/docbienes/leg15/000159/000159_001_e_0052664_20241223.pdf
172,Agustín Parra Gallego,08/08/2023,https://www.congreso.es/docbienes/leg15/000164/000164_000_e_0000702_20230808.pdf
173,Nacho Martín Blanco,08/08/2023,https://www.congreso.es/docbienes/leg15/000166/000166_000_e_0000705_20230808.pdf
174,Llanos De Luna Tobarra,08/08/2023,https://www.congreso.es/docbienes/leg15/000165/000165_000_e_0000704_20230808.pdf
175,Rafael Benigno Belmonte Gómez,08/08/2023,https://www.congreso.es/docbienes/leg15/000167/000167_000_e_0000709_20230808.pdf
175,Rafael Benigno Belmonte Gómez,20/09/2024,https://www.congreso.es/docbienes/leg15/000167/000167_001_e_0038997_20240920.pdf
175,Rafael Benigno Belmonte Gómez,11/02/2026,https://www.congreso.es/docbienes/leg15/000167/000167_001_e_0099093_20260211.pdf
176,Alberto Rojo Blas,08/08/2023,https://www.congreso.es/docbienes/leg15/000163/000163_000_e_0000697_20230808.pdf
177,Maribel Sánchez Torregrosa,08/08/2023,https://www.congreso.es/docbienes/leg15/000169/000169_000_e_0000713_20230808.pdf
178,Begoña Nasarre Oliva,08/08/2023,https://www.congreso.es/docbienes/leg15/000168/000168_000_e_0000712_20230808.pdf
180,Ángel Ibáñez Hernando,08/08/2023,https://www.congreso.es/docbienes/leg15/000171/000171_000_e_0000727_20230808.pdf
180,Ángel Ibáñez Hernando,11/09/2024,https://www.congreso.es/docbienes/leg15/000171/000171_001_e_0037702_20240911.pdf
181,Miguel Ángel Quintanilla Navarro,09/08/2023,https://www.congreso.es/docbienes/leg15/000172/000172_000_e_0000732_20230809.pdf
181,Miguel Ángel Quintanilla Navarro,12/03/2025,https://www.congreso.es/docbienes/leg15/000172/000172_001_e_0060447_20250312.pdf
182,Joaquín Martínez Salmerón,09/08/2023,https://www.congreso.es/docbienes/leg15/000180/000180_000_e_0000769_20230809.pdf
183,María Pilar Alía Aguado,09/08/2023,https://www.congreso.es/docbienes/leg15/000174/000174_000_e_0000747_20230809.pdf
184,José Manuel Velasco Retamosa,09/08/2023,https://www.congreso.es/docbienes/leg15/000175/000175_000_e_0000749_20230809.pdf
185,Francina Armengol Socias,09/08/2023,https://www.congreso.es/docbienes/leg15/000179/000179_000_e_0000765_20230809.pdf
185,Francina Armengol Socias,11/02/2026,https://www.congreso.es/docbienes/leg15/000179/000179_001_e_0099092_20260211.pdf
186,Milena Herrera García,09/08/2023,https://www.congreso.es/docbienes/leg15/000173/000173_000_e_0000742_20230809.pdf
187,María Dolores Corujo Berriel,09/08/2023,https://www.congreso.es/docbienes/leg15/000178/000178_000_e_0000759_20230809.pdf
188,José Vicente Marí Bosó,09/08/2023,https://www.congreso.es/docbienes/leg15/000176/000176_000_e_0000751_20230809.pdf
189,Pedro Sánchez Pérez-Castejón,09/08/2023,https://www.congreso.es/docbienes/leg15/000177/000177_000_e_0000756_20230809.pdf
190,Pepe Mercadal Baquero,09/08/2023,https://www.congreso.es/docbienes/leg15/000183/000183_000_e_0000786_20230809.pdf
191,Isaura Leal Fernández,09/08/2023,https://www.congreso.es/docbienes/leg15/000181/000181_000_e_0000774_20230809.pdf
192,Vicenç Vidal Matas,09/08/2023,https://www.congreso.es/docbienes/leg15/000206/000206_000_e_0000873_20230809.pdf
193,José María Figaredo Álvarez-Sala,09/08/2023,https://www.congreso.es/docbienes/leg15/000186/000186_000_e_0000798_20230809.pdf
193,José María Figaredo Álvarez-Sala,05/10/2023,https://www.congreso.es/docbienes/leg15/000186/000186_001_e_0002205_20231005.pdf
194,Ignacio Hoces Íñiguez,09/08/2023,https://www.congreso.es/docbienes/leg15/000185/000185_000_e_0000793_20230809.pdf
195,Roberto García Morís,09/08/2023,https://www.congreso.es/docbienes/leg15/000182/000182_000_e_0000776_20230809.pdf
195,Roberto García Morís,02/10/2024,https://www.congreso.es/docbienes/leg15/000182/000182_001_e_0042408_20241002.pdf
195,Roberto García Morís,20/02/2025,https://www.congreso.es/docbienes/leg15/000182/000182_001_e_0057279_20250220.pdf
196,Ana Belén Vázquez Blanco,09/08/2023,https://www.congreso.es/docbienes/leg15/000184/000184_000_e_0000788_20230809.pdf
